ReserveId,Position_X,Position_Y,Position_Z,NeedZoneId,NeedType,MapIconId,NeedZoneStartTimeHours,NeedZoneEndTimeHours,AnimalTypeLocalizationName,NeedZoneScheduleIndex,DiscoveredGroups
1,9504.0,1047.091064453125,11088.0,823225772,1,8102982460470315693,4.0,8.0,1124598738,1,
1,9456.0,1029.858154296875,11232.0,1834406402,3,11588991510668340021,8.0,12.0,4205700664,2,
1,11328.0,1132.648681640625,9984.0,-2072811702,1,14231352431503931154,4.0,8.0,3371728369,1,
1,9840.0,1026.51123046875,10112.0,1045388501,1,9026186241571627088,4.0,8.0,3371728369,1,
1,11664.0,1229.082763671875,9840.0,-1524566737,3,9792382381115131703,8.0,12.0,3371728369,2,
1,11936.0,1229.52734375,9616.0,-139383746,1,11232207176554917104,12.0,16.0,3371728369,3,
1,10384.0,1024.088623046875,8032.0,2027377354,1,4220201010616006251,13.0,15.0,3308951053,5,
1,10896.0,1061.349365234375,9936.0,-317225263,1,37713052696129504,12.0,16.0,3371728369,3,
1,10784.0,1116.19921875,9360.0,2009247511,2,4404278494594975797,16.0,20.0,3371728369,4,
1,10512.0,1025.14892578125,10144.0,1041062606,1,15007463492709657502,17.0,19.0,3308951053,7,
1,10336.0,1027.4912109375,10384.0,-1314386235,3,13315417820262389510,15.0,17.0,3308951053,6,
1,11168.0,1100.938232421875,6896.0,-2021350914,1,18104210898472667564,4.0,8.0,3371728369,1,
1,7920.0,1019.86376953125,7712.0,1525324914,1,9429210339482042636,5.0,7.0,3308951053,1,
1,7776.0,1022.22216796875,4496.0,-257819240,1,2199634692690182616,9.0,11.0,3308951053,3,
1,11264.0,1139.086181640625,9824.0,-1825571554,1,3786610826088785533,12.0,16.0,3371728369,3,
1,8176.0,1111.16796875,4448.0,-1644007211,1,1069198230962056534,4.0,8.0,4205700664,1,
1,7584.0,1025.3017578125,4272.0,828465899,2,9982791968092635642,8.0,12.0,1124598738,2,
1,7680.0,1025.521240234375,4496.0,-359395121,1,232498856270413034,9.0,11.0,3308951053,3,
1,7776.0,1022.98291015625,4800.0,640862886,2,2275444197362857888,8.0,12.0,1124598738,2,
1,7584.0,1024.84716796875,5248.0,110301750,2,13280342856601561735,8.0,12.0,1124598738,2,
1,7408.0,1024.166748046875,5136.0,1094434575,2,17188267971195914558,8.0,12.0,1124598738,2,
1,7104.0,1025.475830078125,5296.0,-1092688961,2,2670200838125178211,8.0,12.0,1124598738,2,
1,7136.0,1027.764892578125,5520.0,-723852846,1,5892377420629846573,3.0,6.0,2132195963,1,
1,7168.0,1027.6787109375,5792.0,150200978,2,10866273772591599902,8.0,12.0,1124598738,2,
